2026-03-03 23:55:36,557 - ERROR - [embeddings_pipeline] get_course_context error for course_id=69a766e73dbb270806ec4e00: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2026-03-04 00:01:06,868 - ERROR - [embeddings_pipeline] get_course_context error for course_id=69a768326180458d0c82e336: The truth value of an array with more than one element is ambiguous. Use a.any() or a.all()
2026-03-24 22:01:26,739 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-24 22:01:26,829 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-24 22:01:26,885 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-24 22:01:27,189 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-24 22:01:27,271 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-24 22:01:27,340 - ERROR - [embeddings_pipeline] generate_embedding error: the input length exceeds the context length (status code: 400)
2026-03-24 22:12:38,198 - ERROR - [embeddings_pipeline] generate_embedding error: timed out waiting for llama runner to start - progress 0.00 -  (status code: 500)
2026-03-27 11:56:44,985 - ERROR - [embeddings_pipeline] generate_embedding error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download
2026-03-27 11:56:49,633 - ERROR - [embeddings_pipeline] generate_embedding error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download
2026-03-27 11:57:35,574 - ERROR - [embeddings_pipeline] generate_embedding error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download
2026-03-27 11:57:40,119 - ERROR - [embeddings_pipeline] generate_embedding error: Failed to connect to Ollama. Please check that Ollama is downloaded, running and accessible. https://ollama.com/download
2026-03-27 12:29:12,747 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-27 12:29:14,864 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-27 12:29:16,711 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-27 12:37:39,986 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-27 12:37:42,016 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-27 12:37:44,000 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-27 19:42:45,637 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-27 19:42:45,673 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-27 19:42:45,685 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:41:58,531 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:42:00,637 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:42:02,674 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:42:55,916 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:42:58,022 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:43:00,074 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:43:02,113 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:44:26,803 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:44:28,867 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:44:30,927 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:44:32,977 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:48:00,444 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:48:03,037 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:48:05,106 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:48:07,188 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
2026-03-28 08:57:09,635 - ERROR - [embeddings_pipeline] generate_embedding error: model "nomic-embed-text" not found, try pulling it first (status code: 404)
